drug_code,drug_name,atc,drug_form,composition,excipients
42060552,OXICODONE ACC*50CPR 40MG RP FL,N02AA05,COMPRESSE RILASCIO PROLUNGATO,oxicodone cloridrato#oxicodone,"Sfere di zucchero (contiene saccarosio, amido di mais, idrolisati di amido e additivi coloranti)#metilidrossipropilcellulosa#talco (e553b)#etilcellulosa (e462)#idrossipropilcellulosa (e463)#propilenglicole (e1520)#carmellosa sodica#cellulosa microcristallina (e460)#magnesio stearato (e470b)#silice anidra colloidale#biossido di titanio (e171)#macrogol 3350#talco (e553b)#ferro ossido (e172)"
34435281,OXYCONTIN*56CPR 5MG RP,N02AA05,COMPRESSE RILASCIO PROLUNGATO,oxicodone cloridrato,Lattosio monoidrato#povidone#Ammoniometacrilato copolimero in dispersione#Acido sorbico#triacetina (e1518)#alcol stearilico#talco (e553b)#magnesio stearato (e470b)#metilidrossipropilcellulosa#biossido di titanio (e171)#macrogol#Blu brillante (E133)
42060083,OXICODONE ACC*98CPR 5MG RP,N02AA05,COMPRESSE RILASCIO PROLUNGATO,oxicodone cloridrato#oxicodone,"Sfere di zucchero (contiene saccarosio, amido di mais, idrolisati di amido e additivi coloranti)#metilidrossipropilcellulosa#talco (e553b)#etilcellulosa (e462)#idrossipropilcellulosa (e463)#propilenglicole (e1520)#carmellosa sodica#cellulosa microcristallina (e460)#magnesio stearato (e470b)#silice anidra colloidale#biossido di titanio (e171)#macrogol 3350#talco (e553b)#ferro ossido (e172)"
42318550,OSSICODONE AU*30CPR 20MG RP,N02AA05,COMPRESSE RILASCIO PROLUNGATO,oxicodone cloridrato#oxicodone,Lattosio monoidrato#metilidrossipropilcellulosa#povidone k30#Acido stearico#magnesio stearato (e470b)#silice anidra colloidale#polivinilalcool#biossido di titanio (e171)#macrogol 3350#talco (e553b)#ferro ossido (e172)
42060119,OXICODONE ACC*20CPR 5MG RP FL,N02AA05,COMPRESSE RILASCIO PROLUNGATO,oxicodone cloridrato#oxicodone,"Sfere di zucchero (contiene saccarosio, amido di mais, idrolisati di amido e additivi coloranti)#metilidrossipropilcellulosa#talco (e553b)#etilcellulosa (e462)#idrossipropilcellulosa (e463)#propilenglicole (e1520)#carmellosa sodica#cellulosa microcristallina (e460)#magnesio stearato (e470b)#silice anidra colloidale#biossido di titanio (e171)#macrogol 3350#talco (e553b)"
42318093,OSSICODONE AU*1CPR 10MG RP,N02AA05,COMPRESSE RILASCIO PROLUNGATO,oxicodone cloridrato#oxicodone,Lattosio monoidrato#metilidrossipropilcellulosa#povidone k30#Acido stearico#magnesio stearato (e470b)#silice anidra colloidale#biossido di titanio (e171)#metilidrossipropilcellulosa#peg 400#polisorbato 80 (e433)
42318345,OSSICODONE AU*100CPR 5MG RP,N02AA05,COMPRESSE RILASCIO PROLUNGATO,oxicodone cloridrato#oxicodone,Lattosio monoidrato#metilidrossipropilcellulosa#povidone k30#Acido stearico#magnesio stearato (e470b)#silice anidra colloidale#polivinilalcool#biossido di titanio (e171)#macrogol 3350#talco (e553b)#indigotina lacca d’alluminio (e132)#ferro ossido giallo (e172)
42318143,OSSICODONE AU*56CPR 10MG RP,N02AA05,COMPRESSE RILASCIO PROLUNGATO,oxicodone cloridrato#oxicodone,Lattosio monoidrato#metilidrossipropilcellulosa#povidone k30#Acido stearico#magnesio stearato (e470b)#silice anidra colloidale#biossido di titanio (e171)#metilidrossipropilcellulosa#peg 400#polisorbato 80 (e433)
44919355,OSSICODONE BRUNO*30CPR 80MG RP,N02AA05,COMPRESSE RILASCIO PROLUNGATO,oxicodone cloridrato,"Sfere di zucchero (saccarosio, amido di mais)#metilidrossipropilcellulosa#talco (e553b)#etilcellulosa (e462)#idrossipropilcellulosa (e463)#propilenglicole (e1520)#carmellosa sodica#cellulosa microcristallina (e460)#Magnesio stearato (Ph. Eur.)#silice anidra colloidale#polivinilalcool#talco (e553b)#biossido di titanio (e171)#macrogol 3350"
42060335,OXICODONE ACC*30CPR 20MG RP,N02AA05,COMPRESSE RILASCIO PROLUNGATO,oxicodone cloridrato#oxicodone,"Sfere di zucchero (contiene saccarosio, amido di mais, idrolisati di amido e additivi coloranti)#metilidrossipropilcellulosa#talco (e553b)#etilcellulosa (e462)#idrossipropilcellulosa (e463)#propilenglicole (e1520)#carmellosa sodica#cellulosa microcristallina (e460)#magnesio stearato (e470b)#silice anidra colloidale#biossido di titanio (e171)#macrogol 3350#talco (e553b)#ferro ossido (e172)"
42060626,OXICODONE ACC*50CPR 80MG RP,N02AA05,COMPRESSE RILASCIO PROLUNGATO,oxicodone cloridrato#oxicodone,"Sfere di zucchero (contiene saccarosio, amido di mais, idrolisati di amido e additivi coloranti)#metilidrossipropilcellulosa#talco (e553b)#etilcellulosa (e462)#idrossipropilcellulosa (e463)#propilenglicole (e1520)#carmellosa sodica#cellulosa microcristallina (e460)#magnesio stearato (e470b)#silice anidra colloidale#macrogol 3350#talco (e553b)#ferro ossido (e172)"
42318434,OSSICODONE AU*50CPR 10MG RP,N02AA05,COMPRESSE RILASCIO PROLUNGATO,oxicodone cloridrato#oxicodone,Lattosio monoidrato#metilidrossipropilcellulosa#povidone k30#Acido stearico#magnesio stearato (e470b)#silice anidra colloidale#biossido di titanio (e171)#metilidrossipropilcellulosa#peg 400#polisorbato 80 (e433)
44919037,OSSICODONE BRUNO*20CPR 10MG RP,N02AA05,COMPRESSE RILASCIO PROLUNGATO,oxicodone cloridrato,"Sfere di zucchero (saccarosio, amido di mais)#metilidrossipropilcellulosa#talco (e553b)#etilcellulosa (e462)#idrossipropilcellulosa (e463)#propilenglicole (e1520)#carmellosa sodica#cellulosa microcristallina (e460)#Magnesio stearato (Ph. Eur.)#silice anidra colloidale#polivinilalcool#talco (e553b)#biossido di titanio (e171)#macrogol 3350#ferro ossido giallo (e172)"
42060499,OXICODONE ACC*56CPR 40MG RP,N02AA05,COMPRESSE RILASCIO PROLUNGATO,oxicodone cloridrato#oxicodone,"Sfere di zucchero (contiene saccarosio, amido di mais, idrolisati di amido e additivi coloranti)#metilidrossipropilcellulosa#talco (e553b)#etilcellulosa (e462)#idrossipropilcellulosa (e463)#propilenglicole (e1520)#carmellosa sodica#cellulosa microcristallina (e460)#magnesio stearato (e470b)#silice anidra colloidale#biossido di titanio (e171)#macrogol 3350#ferro ossido (e172)"
44919254,OSSICODONE BRUNO*30CPR 40MG RP,N02AA05,COMPRESSE RILASCIO PROLUNGATO,oxicodone cloridrato,"Sfere di zucchero (saccarosio, amido di mais)#metilidrossipropilcellulosa#talco (e553b)#etilcellulosa (e462)#idrossipropilcellulosa (e463)#propilenglicole (e1520)#carmellosa sodica#cellulosa microcristallina (e460)#Magnesio stearato (Ph. Eur.)#silice anidra colloidale#polivinilalcool#talco (e553b)#biossido di titanio (e171)#macrogol 3350#ferro ossido (e172)"
42060412,OXICODONE ACC*50CPR 20MG RP FL,N02AA05,COMPRESSE RILASCIO PROLUNGATO,oxicodone cloridrato#oxicodone,"Sfere di zucchero (contiene saccarosio, amido di mais, idrolisati di amido e additivi coloranti)#metilidrossipropilcellulosa#talco (e553b)#etilcellulosa (e462)#idrossipropilcellulosa (e463)#propilenglicole (e1520)#carmellosa sodica#cellulosa microcristallina (e460)#magnesio stearato (e470b)#silice anidra colloidale#biossido di titanio (e171)#macrogol 3350#talco (e553b)#ferro ossido (e172)"
41263031,OXICODONE SAND*28CPR 40MG RP,N02AA05,COMPRESSE RILASCIO PROLUNGATO,oxicodone cloridrato#oxicodone,Olio di ricino idrogenato#Copovidone#Behenoyl-macrogolgliceride#Lattosio monoidrato#magnesio stearato (e470b)#amido di mais#silice anidra colloidale#Trigliceridi a catena media#cellulosa microcristallina (e460)#metilidrossipropilcellulosa#Acido stearico#biossido di titanio (e171)#ferro ossido giallo (e172)
44919140,OSSICODONE BRUNO*28CPR 20MG RP,N02AA05,COMPRESSE RILASCIO PROLUNGATO,oxicodone cloridrato,"Sfere di zucchero (saccarosio, amido di mais)#metilidrossipropilcellulosa#talco (e553b)#etilcellulosa (e462)#idrossipropilcellulosa (e463)#propilenglicole (e1520)#carmellosa sodica#cellulosa microcristallina (e460)#Magnesio stearato (Ph. Eur.)#silice anidra colloidale#polivinilalcool#talco (e553b)#biossido di titanio (e171)#macrogol 3350#ferro ossido giallo (e172)"
42060032,OXICODONE ACC*20CPR 5MG RP,N02AA05,COMPRESSE RILASCIO PROLUNGATO,oxicodone cloridrato#oxicodone,"Sfere di zucchero (contiene saccarosio, amido di mais, idrolisati di amido e additivi coloranti)#metilidrossipropilcellulosa#talco (e553b)#etilcellulosa (e462)#idrossipropilcellulosa (e463)#propilenglicole (e1520)#carmellosa sodica#cellulosa microcristallina (e460)#magnesio stearato (e470b)#silice anidra colloidale#biossido di titanio (e171)#macrogol 3350#talco (e553b)"
42318612,OSSICODONE AU*98CPR 20MG RP,N02AA05,COMPRESSE RILASCIO PROLUNGATO,oxicodone cloridrato#oxicodone,Lattosio monoidrato#metilidrossipropilcellulosa#povidone k30#Acido stearico#magnesio stearato (e470b)#silice anidra colloidale#polivinilalcool#biossido di titanio (e171)#macrogol 3350#talco (e553b)#ferro ossido (e172)
42060095,OXICODONE ACC*100CPR 5MG RP,N02AA05,COMPRESSE RILASCIO PROLUNGATO,oxicodone cloridrato#oxicodone,"Sfere di zucchero (contiene saccarosio, amido di mais, idrolisati di amido e additivi coloranti)#metilidrossipropilcellulosa#talco (e553b)#etilcellulosa (e462)#idrossipropilcellulosa (e463)#propilenglicole (e1520)#carmellosa sodica#cellulosa microcristallina (e460)#magnesio stearato (e470b)#silice anidra colloidale#biossido di titanio (e171)#macrogol 3350#ferro ossido (e172)"
34435267,OXYCONTIN*28CPR 5MG RP,N02AA05,COMPRESSE RILASCIO PROLUNGATO,oxicodone cloridrato,Lattosio monoidrato#povidone#Ammoniometacrilato copolimero in dispersione#Acido sorbico#triacetina (e1518)#alcol stearilico#talco (e553b)#magnesio stearato (e470b)#metilidrossipropilcellulosa#biossido di titanio (e171)#macrogol#Blu brillante (E133)
34435228,OXYCONTIN*28CPR 80MG RP FL,N02AA05,COMPRESSE RILASCIO PROLUNGATO,oxicodone cloridrato,Lattosio monoidrato#povidone#Ammoniometacrilato copolimero in dispersione#Acido sorbico#triacetina (e1518)#alcol stearilico#talco (e553b)#magnesio stearato (e470b)#metilidrossipropilcellulosa#idrossipropilcellulosa (e463)#biossido di titanio (e171)#macrogol#ferro ossido (e172)#indigotina (e 132)
42318574,OSSICODONE AU*56CPR 20MG RP,N02AA05,COMPRESSE RILASCIO PROLUNGATO,oxicodone cloridrato#oxicodone,Lattosio monoidrato#metilidrossipropilcellulosa#povidone k30#Acido stearico#magnesio stearato (e470b)#silice anidra colloidale#polivinilalcool#biossido di titanio (e171)#macrogol 3350#talco (e553b)#ferro ossido (e172)
42060020,OXICODONE ACC*14CPR 5MG RP,N02AA05,COMPRESSE RILASCIO PROLUNGATO,oxicodone cloridrato#oxicodone,"Sfere di zucchero (contiene saccarosio, amido di mais, idrolisati di amido e additivi coloranti)#metilidrossipropilcellulosa#talco (e553b)#etilcellulosa (e462)#idrossipropilcellulosa (e463)#propilenglicole (e1520)#carmellosa sodica#cellulosa microcristallina (e460)#magnesio stearato (e470b)#silice anidra colloidale#biossido di titanio (e171)#macrogol 3350#talco (e553b)#ferro ossido (e172)"
44919090,OSSICODONE BRUNO*98CPR 10MG RP,N02AA05,COMPRESSE RILASCIO PROLUNGATO,oxicodone cloridrato#oxicodone,"Sfere di zucchero (saccarosio, amido di mais)#metilidrossipropilcellulosa#talco (e553b)#etilcellulosa (e462)#idrossipropilcellulosa (e463)#propilenglicole (e1520)#carmellosa sodica#cellulosa microcristallina (e460)#Magnesio stearato (Ph. Eur.)#silice anidra colloidale#polivinilalcool#talco (e553b)#biossido di titanio (e171)#macrogol 3350"
44919102,OSSICODONE BRUNO*100CPR10MG RP,N02AA05,COMPRESSE RILASCIO PROLUNGATO,oxicodone cloridrato#oxicodone,"Sfere di zucchero (saccarosio, amido di mais)#metilidrossipropilcellulosa#talco (e553b)#etilcellulosa (e462)#idrossipropilcellulosa (e463)#propilenglicole (e1520)#carmellosa sodica#cellulosa microcristallina (e460)#Magnesio stearato (Ph. Eur.)#silice anidra colloidale#polivinilalcool#biossido di titanio (e171)#macrogol 3350"
44919025,OSSICODONE BRUNO*14CPR 10MG RP,N02AA05,COMPRESSE RILASCIO PROLUNGATO,oxicodone cloridrato#oxicodone,"Sfere di zucchero (saccarosio, amido di mais)#metilidrossipropilcellulosa#talco (e553b)#etilcellulosa (e462)#idrossipropilcellulosa (e463)#propilenglicole (e1520)#carmellosa sodica#cellulosa microcristallina (e460)#Magnesio stearato (Ph. Eur.)#silice anidra colloidale#polivinilalcool#talco (e553b)#biossido di titanio (e171)#macrogol 3350#ferro ossido giallo (e172)"
41263183,OXICODONE SAND*50CPR 60MG RP,N02AA05,COMPRESSE RILASCIO PROLUNGATO,oxicodone cloridrato#oxicodone,Olio di ricino idrogenato#Copovidone#Behenoyl-macrogolgliceride#Lattosio monoidrato#magnesio stearato (e470b)#amido di mais#silice anidra colloidale#Trigliceridi a catena media#cellulosa microcristallina (e460)#metilidrossipropilcellulosa#Acido stearico#biossido di titanio (e171)#ferro ossido (e172)
42060665,OXICODONE ACC*10CPR 80MG RP FL,N02AA05,COMPRESSE RILASCIO PROLUNGATO,oxicodone cloridrato#oxicodone,"Sfere di zucchero (contiene saccarosio, amido di mais, idrolisati di amido e additivi coloranti)#metilidrossipropilcellulosa#talco (e553b)#etilcellulosa (e462)#idrossipropilcellulosa (e463)#propilenglicole (e1520)#carmellosa sodica#cellulosa microcristallina (e460)#magnesio stearato (e470b)#silice anidra colloidale#macrogol 3350#talco (e553b)#ferro ossido (e172)"
42318257,OSSICODONE AU*100CPR 20MG RP,N02AA05,COMPRESSE RILASCIO PROLUNGATO,oxicodone cloridrato#oxicodone,Lattosio monoidrato#metilidrossipropilcellulosa#povidone k30#Acido stearico#magnesio stearato (e470b)#silice anidra colloidale#polivinilalcool#biossido di titanio (e171)#macrogol 3350#talco (e553b)#ferro ossido (e172)
42060780,OXICODONE ACC*120CPR 20MG RP,N02AA05,COMPRESSE RILASCIO PROLUNGATO,oxicodone cloridrato#oxicodone,"Sfere di zucchero (contiene saccarosio, amido di mais, idrolisati di amido e additivi coloranti)#metilidrossipropilcellulosa#talco (e553b)#etilcellulosa (e462)#idrossipropilcellulosa (e463)#propilenglicole (e1520)#carmellosa sodica#cellulosa microcristallina (e460)#magnesio stearato (e470b)#silice anidra colloidale#biossido di titanio (e171)#macrogol 3350#talco (e553b)#ferro ossido (e172)"
34435178,OXYCONTIN*56CPR 40MG RP FL,N02AA05,COMPRESSE RILASCIO PROLUNGATO,oxicodone cloridrato,Lattosio monoidrato#povidone#Ammoniometacrilato copolimero in dispersione#Acido sorbico#triacetina (e1518)#alcol stearilico#talco (e553b)#magnesio stearato (e470b)#metilidrossipropilcellulosa#biossido di titanio (e171)#macrogol#polisorbato 80 (e433)#ferro ossido (e172)
42318358,OSSICODONE AU*56CPR 5MG RP,N02AA05,COMPRESSE RILASCIO PROLUNGATO,oxicodone cloridrato#oxicodone,Lattosio monoidrato#metilidrossipropilcellulosa#povidone k30#Acido stearico#magnesio stearato (e470b)#silice anidra colloidale#polivinilalcool#biossido di titanio (e171)#macrogol 3350#talco (e553b)#indigotina lacca d’alluminio (e132)#ferro ossido giallo (e172)
42318244,OSSICODONE AU*60CPR 20MG RP,N02AA05,COMPRESSE RILASCIO PROLUNGATO,oxicodone cloridrato#oxicodone,Lattosio monoidrato#metilidrossipropilcellulosa#povidone k30#Acido stearico#magnesio stearato (e470b)#silice anidra colloidale#polivinilalcool#biossido di titanio (e171)#macrogol 3350#talco (e553b)#ferro ossido (e172)
34435065,OXYCONTIN*112CPR 10MG RP FL,N02AA05,COMPRESSE RILASCIO PROLUNGATO,oxicodone cloridrato,Lattosio monoidrato#povidone#Ammoniometacrilato copolimero in dispersione#Acido sorbico#triacetina (e1518)#alcol stearilico#talco (e553b)#magnesio stearato (e470b)#metilidrossipropilcellulosa#idrossipropilcellulosa (e463)#biossido di titanio (e171)#macrogol
42318523,OSSICODONE AU*1CPR 20MG RP,N02AA05,COMPRESSE RILASCIO PROLUNGATO,oxicodone cloridrato#oxicodone,Lattosio monoidrato#metilidrossipropilcellulosa#povidone k30#Acido stearico#magnesio stearato (e470b)#silice anidra colloidale#polivinilalcool#biossido di titanio (e171)#macrogol 3350#talco (e553b)#ferro ossido (e172)
42060564,OXICODONE ACC*100CPR 40MG RP,N02AA05,COMPRESSE RILASCIO PROLUNGATO,oxicodone cloridrato#oxicodone,"Sfere di zucchero (contiene saccarosio, amido di mais, idrolisati di amido e additivi coloranti)#metilidrossipropilcellulosa#talco (e553b)#etilcellulosa (e462)#idrossipropilcellulosa (e463)#propilenglicole (e1520)#carmellosa sodica#cellulosa microcristallina (e460)#magnesio stearato (e470b)#silice anidra colloidale#biossido di titanio (e171)#macrogol 3350#talco (e553b)#ferro ossido (e172)"
42318547,OSSICODONE AU*28CPR 20MG RP,N02AA05,COMPRESSE RILASCIO PROLUNGATO,oxicodone cloridrato#oxicodone,Lattosio monoidrato#metilidrossipropilcellulosa#povidone k30#Acido stearico#magnesio stearato (e470b)#silice anidra colloidale#polivinilalcool#biossido di titanio (e171)#macrogol 3350#talco (e553b)#ferro ossido (e172)
42060184,OXICODONE ACC*28CPR 10MG RP,N02AA05,COMPRESSE RILASCIO PROLUNGATO,oxicodone cloridrato#oxicodone,"Sfere di zucchero (contiene saccarosio, amido di mais, idrolisati di amido e additivi coloranti)#metilidrossipropilcellulosa#talco (e553b)#etilcellulosa (e462)#idrossipropilcellulosa (e463)#propilenglicole (e1520)#carmellosa sodica#cellulosa microcristallina (e460)#magnesio stearato (e470b)#silice anidra colloidale#biossido di titanio (e171)#macrogol 3350#talco (e553b)#ferro ossido (e172)"
41263296,OXICODONE SAND*40CPR 80MG RP,N02AA05,COMPRESSE RILASCIO PROLUNGATO,oxicodone cloridrato#oxicodone,Olio di ricino idrogenato#Copovidone#Behenoyl-macrogolgliceride#Lattosio monoidrato#magnesio stearato (e470b)#amido di mais#silice anidra colloidale#Trigliceridi a catena media#cellulosa microcristallina (e460)#metilidrossipropilcellulosa#Acido stearico#biossido di titanio (e171)#ferro ossido nero (e172)#ossido di alluminio idrato#indigotina (e 132)#giallo chinolina (e 104)
41263284,OXICODONE SAND*30CPR 80MG RP,N02AA05,COMPRESSE RILASCIO PROLUNGATO,oxicodone cloridrato#oxicodone,Olio di ricino idrogenato#Copovidone#Behenoyl-macrogolgliceride#Lattosio monoidrato#magnesio stearato (e470b)#amido di mais#silice anidra colloidale#Trigliceridi a catena media#cellulosa microcristallina (e460)#metilidrossipropilcellulosa#Acido stearico#biossido di titanio (e171)#ferro ossido nero (e172)#ossido di alluminio idrato#indigotina (e 132)#giallo chinolina (e 104)
42060158,OXICODONE ACC*10CPR 10MG RP,N02AA05,COMPRESSE RILASCIO PROLUNGATO,oxicodone cloridrato#oxicodone,"Sfere di zucchero (contiene saccarosio, amido di mais, idrolisati di amido e additivi coloranti)#metilidrossipropilcellulosa#talco (e553b)#etilcellulosa (e462)#idrossipropilcellulosa (e463)#propilenglicole (e1520)#carmellosa sodica#cellulosa microcristallina (e460)#magnesio stearato (e470b)#silice anidra colloidale#biossido di titanio (e171)#macrogol 3350#talco (e553b)#ferro ossido (e172)"
42060398,OXICODONE ACC*20CPR 20MG RP FL,N02AA05,COMPRESSE RILASCIO PROLUNGATO,oxicodone cloridrato#oxicodone,"Sfere di zucchero (contiene saccarosio, amido di mais, idrolisati di amido e additivi coloranti)#metilidrossipropilcellulosa#talco (e553b)#etilcellulosa (e462)#idrossipropilcellulosa (e463)#propilenglicole (e1520)#carmellosa sodica#cellulosa microcristallina (e460)#magnesio stearato (e470b)#silice anidra colloidale#biossido di titanio (e171)#macrogol 3350#ferro ossido (e172)"
42060487,OXICODONE ACC*50CPR 40MG RP,N02AA05,COMPRESSE RILASCIO PROLUNGATO,oxicodone cloridrato#oxicodone,"Sfere di zucchero (contiene saccarosio, amido di mais, idrolisati di amido e additivi coloranti)#metilidrossipropilcellulosa#talco (e553b)#etilcellulosa (e462)#idrossipropilcellulosa (e463)#propilenglicole (e1520)#carmellosa sodica#cellulosa microcristallina (e460)#magnesio stearato (e470b)#silice anidra colloidale#biossido di titanio (e171)#macrogol 3350#talco (e553b)#ferro ossido (e172)"
42060463,OXICODONE ACC*28CPR 40MG RP,N02AA05,COMPRESSE RILASCIO PROLUNGATO,oxicodone cloridrato#oxicodone,"Sfere di zucchero (contiene saccarosio, amido di mais, idrolisati di amido e additivi coloranti)#metilidrossipropilcellulosa#talco (e553b)#etilcellulosa (e462)#idrossipropilcellulosa (e463)#propilenglicole (e1520)#carmellosa sodica#cellulosa microcristallina (e460)#magnesio stearato (e470b)#silice anidra colloidale#biossido di titanio (e171)#macrogol 3350#talco (e553b)#ferro ossido (e172)"
42318535,OSSICODONE AU*20CPR 20MG RP,N02AA05,COMPRESSE RILASCIO PROLUNGATO,oxicodone cloridrato#oxicodone,Lattosio monoidrato#metilidrossipropilcellulosa#povidone k30#Acido stearico#magnesio stearato (e470b)#silice anidra colloidale#polivinilalcool#biossido di titanio (e171)#macrogol 3350#talco (e553b)#ferro ossido (e172)
42060792,OXICODONE ACC*120CPR 40MG RP,N02AA05,COMPRESSE RILASCIO PROLUNGATO,oxicodone cloridrato#oxicodone,"Sfere di zucchero (contiene saccarosio, amido di mais, idrolisati di amido e additivi coloranti)#metilidrossipropilcellulosa#talco (e553b)#etilcellulosa (e462)#idrossipropilcellulosa (e463)#propilenglicole (e1520)#carmellosa sodica#cellulosa microcristallina (e460)#magnesio stearato (e470b)#silice anidra colloidale#biossido di titanio (e171)#macrogol 3350#talco (e553b)#ferro ossido (e172)"
42060350,OXICODONE ACC*56CPR 20MG RP,N02AA05,COMPRESSE RILASCIO PROLUNGATO,oxicodone cloridrato#oxicodone,"Sfere di zucchero (contiene saccarosio, amido di mais, idrolisati di amido e additivi coloranti)#metilidrossipropilcellulosa#talco (e553b)#etilcellulosa (e462)#idrossipropilcellulosa (e463)#propilenglicole (e1520)#carmellosa sodica#cellulosa microcristallina (e460)#magnesio stearato (e470b)#silice anidra colloidale#biossido di titanio (e171)#macrogol 3350#talco (e553b)#ferro ossido (e172)"
42060018,OXICODONE ACC*10CPR 5MG RP,N02AA05,COMPRESSE RILASCIO PROLUNGATO,oxicodone cloridrato#oxicodone,"Sfere di zucchero (contiene saccarosio, amido di mais, idrolisati di amido e additivi coloranti)#metilidrossipropilcellulosa#talco (e553b)#etilcellulosa (e462)#idrossipropilcellulosa (e463)#propilenglicole (e1520)#carmellosa sodica#cellulosa microcristallina (e460)#magnesio stearato (e470b)#silice anidra colloidale#biossido di titanio (e171)#macrogol 3350#ferro ossido (e172)"
42060057,OXICODONE ACC*30CPR 5MG RP,N02AA05,COMPRESSE RILASCIO PROLUNGATO,oxicodone cloridrato#oxicodone,"Sfere di zucchero (contiene saccarosio, amido di mais, idrolisati di amido e additivi coloranti)#metilidrossipropilcellulosa#talco (e553b)#etilcellulosa (e462)#idrossipropilcellulosa (e463)#propilenglicole (e1520)#carmellosa sodica#cellulosa microcristallina (e460)#magnesio stearato (e470b)#silice anidra colloidale#biossido di titanio (e171)#macrogol 3350#talco (e553b)#ferro ossido (e172)"
42060703,OXICODONE ACC*100CPR 80MG RP,N02AA05,COMPRESSE RILASCIO PROLUNGATO,oxicodone cloridrato#oxicodone,"Sfere di zucchero (contiene saccarosio, amido di mais, idrolisati di amido e additivi coloranti)#metilidrossipropilcellulosa#talco (e553b)#etilcellulosa (e462)#idrossipropilcellulosa (e463)#propilenglicole (e1520)#carmellosa sodica#cellulosa microcristallina (e460)#magnesio stearato (e470b)#silice anidra colloidale#macrogol 3350#talco (e553b)#ferro ossido (e172)"
41263094,OXICODONE SAND*100CPR 40MG RP,N02AA05,COMPRESSE RILASCIO PROLUNGATO,oxicodone cloridrato#oxicodone,Olio di ricino idrogenato#Copovidone#Behenoyl-macrogolgliceride#Lattosio monoidrato#magnesio stearato (e470b)#amido di mais#silice anidra colloidale#Trigliceridi a catena media#cellulosa microcristallina (e460)#metilidrossipropilcellulosa#Acido stearico#biossido di titanio (e171)#ferro ossido giallo (e172)
44919330,OSSICODONE BRUNO*20CPR 80MG RP,N02AA05,COMPRESSE RILASCIO PROLUNGATO,oxicodone cloridrato,"Sfere di zucchero (saccarosio, amido di mais)#metilidrossipropilcellulosa#talco (e553b)#etilcellulosa (e462)#idrossipropilcellulosa (e463)#propilenglicole (e1520)#carmellosa sodica#cellulosa microcristallina (e460)#Magnesio stearato (Ph. Eur.)#silice anidra colloidale#polivinilalcool#talco (e553b)#biossido di titanio (e171)#macrogol 3350"
44919013,OSSICODONE BRUNO*10CPR 10MG RP,N02AA05,COMPRESSE RILASCIO PROLUNGATO,oxicodone cloridrato,"Sfere di zucchero (saccarosio, amido di mais)#metilidrossipropilcellulosa#talco (e553b)#etilcellulosa (e462)#idrossipropilcellulosa (e463)#propilenglicole (e1520)#carmellosa sodica#cellulosa microcristallina (e460)#Magnesio stearato (Ph. Eur.)#silice anidra colloidale#polivinilalcool#talco (e553b)#biossido di titanio (e171)#macrogol 3350"
44919393,OSSICODONE BRUNO*98CPR 80MG RP,N02AA05,COMPRESSE RILASCIO PROLUNGATO,oxicodone cloridrato,"Sfere di zucchero (saccarosio, amido di mais)#metilidrossipropilcellulosa#talco (e553b)#etilcellulosa (e462)#idrossipropilcellulosa (e463)#propilenglicole (e1520)#carmellosa sodica#cellulosa microcristallina (e460)#Magnesio stearato (Ph. Eur.)#silice anidra colloidale#polivinilalcool#talco (e553b)#biossido di titanio (e171)#macrogol 3350"
44919138,OSSICODONE BRUNO*20CPR 20MG RP,N02AA05,COMPRESSE RILASCIO PROLUNGATO,oxicodone cloridrato,"Sfere di zucchero (saccarosio, amido di mais)#metilidrossipropilcellulosa#talco (e553b)#etilcellulosa (e462)#idrossipropilcellulosa (e463)#propilenglicole (e1520)#carmellosa sodica#cellulosa microcristallina (e460)#Magnesio stearato (Ph. Eur.)#silice anidra colloidale#polivinilalcool#talco (e553b)#biossido di titanio (e171)#macrogol 3350#ferro ossido giallo (e172)"
34435103,OXYCONTIN*28CPR 20MG RP FL,N02AA05,COMPRESSE RILASCIO PROLUNGATO,oxicodone cloridrato,Lattosio monoidrato#povidone#Ammoniometacrilato copolimero in dispersione#Acido sorbico#triacetina (e1518)#alcol stearilico#talco (e553b)#magnesio stearato (e470b)#metilidrossipropilcellulosa#biossido di titanio (e171)#macrogol#polisorbato 80 (e433)#ferro ossido (e172)
43927058,OSSICODONE MOLT*5F 1ML 50MG/ML,N02AA05,SOLUZIONE INIETTABILE O PER INFUSIONE,oxicodone cloridrato,acido citrico monoidrato#sodio citrato#sodio cloruro#Acido cloridrico diluito (per correggere il pH)#Idrossido di sodio (per correggere il pH)#acqua per preparazioni iniettabili
42060590,OXICODONE ACC*20CPR 80MG RP,N02AA05,COMPRESSE RILASCIO PROLUNGATO,oxicodone cloridrato#oxicodone,"Sfere di zucchero (contiene saccarosio, amido di mais, idrolisati di amido e additivi coloranti)#metilidrossipropilcellulosa#talco (e553b)#etilcellulosa (e462)#idrossipropilcellulosa (e463)#propilenglicole (e1520)#carmellosa sodica#cellulosa microcristallina (e460)#magnesio stearato (e470b)#silice anidra colloidale#macrogol 3350#talco (e553b)#ferro ossido (e172)"
