drug_code,drug_name,atc,drug_form,composition,excipients
25624038,MS CONTIN*16CPR 60MG RP,N02AA01,COMPRESSE RILASCIO PROLUNGATO,Morfina solfato,Lattosio anidro#Idrossietilcellulosa#Alcool cetostearilico#magnesio stearato (e470b)#talco (e553b)#Opadry OY-3508
28103024,SKENAN*16CPS 30MG RP,N02AA01,CAPSULE,morfina solfato,Microgranuli di saccarosio e amido di mais#macrogol 4000#aquacoat ECD 30#dibutilsebacato#talco (e553b)#gelatina#biossido di titanio (e171)#eritrosina (e 127)
34715173,TICINAN*20CPR RIV 60MG R.P.,N02AA01,COMPRESSE RIVESTITE,morfina cloridrato triidrato#morfina,lattosio monoidrato#poliacrilato dispersione 30%#acido metacrilico - copolimero etilacrilato (1:1)#copolimero ammonio metacrilato tipo B#ipromellosa 4000#magnesio stearato (e470b)#macrogol 6000#talco (e553b)#biossido di titanio (e171)#ipromellosa 5#agente antischiuma siliconante SE2 MC#agente colorante “Lackgelb TF” E 104/110#acqua depurata
30798045,MORFINA CL MONICO*1F 20MG 1ML,N02AA01,SOLUZIONE INIETTABILE,Morfina cloridrato triidrato,acqua per preparazioni iniettabili
29611086,MORFINA CL MOLT*1F 200MG/10ML,N02AA01,PREPARAZIONE INIETTABILE,morfina cloridrato,acqua per preparazioni iniettabili
33484039,TWICE*16CPS 60MG RP,N02AA01,CAPSULE RIGIDE RILASCIO PROLUNGATO,morfina solfato,microgranuli di saccarosio e amido di mais#macrogol 4000#aquacoat ECD 30#dibutilsebacato#talco (e553b)#gelatina#biossido di titanio (e171)#giallo arancio S E 110#ferro ossido nero (e172)
29611100,MORFINA CL MOLT*5F 100MG/5ML,N02AA01,SOLUZIONE INIETTABILE,morfina cloridrato,acqua per preparazioni iniettabili
25624014,MS CONTIN*16CPR 10MG RP,N02AA01,COMPRESSE RILASCIO PROLUNGATO,Morfina solfato,Lattosio anidro#Idrossietilcellulosa#Alcool cetostearilico#magnesio stearato (e470b)#talco (e553b)#Opadry
29611136,MORFINA CL MOLT*5F 50MG/5ML,N02AA01,SOLUZIONE INIETTABILE,morfina cloridrato,acqua per preparazioni iniettabili
29611098,MORFINA CL MOLT*5F 200MG/10ML,N02AA01,PREPARAZIONE INIETTABILE,morfina cloridrato,acqua per preparazioni iniettabili
25624053,MS CONTIN*16CPR 200MG RP,N02AA01,COMPRESSE RILASCIO PROLUNGATO,Morfina solfato,Idrossietilcellulosa#Alcool cetostearilico#magnesio stearato (e470b)#talco (e553b)#Opadry OY-5970#peg 400
28103012,SKENAN*16CPS 10MG RP,N02AA01,CAPSULE,morfina solfato,Microgranuli di saccarosio e amido di mais#macrogol 4000#aquacoat ECD 30#dibutilsebacato#talco (e553b)#gelatina#giallo chinolina (e 104)#biossido di titanio (e171)
29611035,MORFINA CL MOLT*5F 1ML20MG/ML,N02AA01,SOLUZIONE INIETTABILE,morfina cloridrato,acqua per preparazioni iniettabili
30798019,MORFINA CL MONICO*5F 10MG 1ML,N02AA01,SOLUZIONE INIETTABILE,Morfina cloridrato triidrato,acqua per preparazioni iniettabili
49154040,MORFINA SOLF SUN*5SIR 2MG/ML,N02AA01,SOLUZIONE PER INFUSIONE,Morfina solfato,"Disodio edetato#sodio cloruro#Acido cloridrico 0,1% (per aggiustare il pH)#Sodio idrossido 0,1% (per aggiustare il pH)#acqua per preparazioni iniettabili"
30798084,MORFINA CL MONICO*5F 200MG 10M,N02AA01,SOLUZIONE INIETTABILE,Morfina cloridrato triidrato,acqua per preparazioni iniettabili
33484041,TWICE*16CPS 100MG RP,N02AA01,CAPSULE RIGIDE RILASCIO PROLUNGATO,morfina solfato,microgranuli di saccarosio e amido di mais#macrogol 4000#aquacoat ECD 30#dibutilsebacato#talco (e553b)#gelatina#biossido di titanio (e171)#ferro ossido nero (e172)
34715108,TICINAN*20CPR RIV 30MG R.P.,N02AA01,COMPRESSE RIVESTITE,morfina cloridrato triidrato#morfina,lattosio monoidrato#poliacrilato dispersione 30%#acido metacrilico - copolimero etilacrilato (1:1)#copolimero ammonio metacrilato tipo B#ipromellosa 4000#magnesio stearato (e470b)#macrogol 6000#talco (e553b)#biossido di titanio (e171)#ipromellosa 5#agente antischiuma siliconante SE2 MC#agente colorante “Indigotinlack” E 132#agente colorante “Gelbgrun–Farblack” E 104/132#acqua depurata
